All ingredients in cryoprotective solution,DMSO usage,cooling rate,viability,recovery,Doubling time,Comments about method,Comments about results,Source (DOI link)
empty,0,slow_freeze,not mention,0.96,Not Mentioned,"MUD fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for MUD fresh; high engraftment rates (96%); 1-year OS 66%,https://doi.org/10.21873/invivo.13565
empty,0,slow_freeze,not mention,0.69,Not Mentioned,"HID fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for HID fresh; engraftment rates 84%/69%; 1-year OS 41%,https://doi.org/10.21873/invivo.13565
5% trehalose + 2.5% dextran,0,slow_freeze,1,not mention,Not mentioned ,"Trehalose delivered via ultrasound + microbubbles (UMT) at 0.25 MPa, 5 min exposure; cells cryopreserved for ≥4 weeks
Standard MSC cryopreservation protocol; no UMT treatment for this cryosoup","Effective CPA, maintains viability and pluripotency; higher trehalose concentrations (250–750 mM) optimal
Higher percentage of dead cells at 0 mM trehalose compared to trehalose + dextran; DMSO is cytotoxic",https://doi.org/10.1038/s44172-024-00239-0
5% trehalose + 2.5% dextran,0,slow_freeze,0.8,not mention,Not mentioned ,"Trehalose delivered via ultrasound + microbubbles (UMT) at 0.25 MPa, 5 min exposure; cells cryopreserved for ≥4 weeks
Standard MSC cryopreservation protocol; no UMT treatment for this cryosoup","Effective CPA, maintains viability and pluripotency; higher trehalose concentrations (250–750 mM) optimal
Higher percentage of dead cells at 0 mM trehalose compared to trehalose + dextran; DMSO is cytotoxic",https://doi.org/10.1038/s44172-024-00239-0
10% DMSO + 90% FBS,0.1,slow_freeze,not mention,not mention,Not mentioned ,,,
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,0.2,slow_freeze,0.77,not mention,Not mentioned ,"MSC monolayers were first cultured in Equilibrium solution for 10 mins before vitrification. Vitrification solution added for 5 mins, removed by aspiration. Warmed by added warm rewarming solution. Trypan blue exclusion for quantitative viability after dispersal. Annexin V-FITC / PI staining to assess apoptosis vs necrosis. Cell Counting Kit-8 (CCK-8) for cell proliferation (read at 450 nm).","COOH-PLL (polyampholyte) strongly stabilised the glassy state, reduced devitrification and cytotoxicity, and inhibited apoptosis. P-VS (EG + sucrose + 10% COOH-PLL) produced the best outcomes: lowest apoptosis (Annexin V), highest viability after warming and 1 day culture, and preserved proliferation and osteogenic/adipogenic differentiation. Slow vitrification (even at 4.9 °C/min) became feasible with COOH-PLL — advantage for fragile 2D constructs because it avoids mechanical stresses of direct immersion.",DOI: 10.1021/acsbiomaterials.6b00150
6.5 M EG + 0.5 M Sucrose,0,slow_freeze,0.5,not mention,Not mentioned ,,,
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,0,slow_freeze,0.95,not mention,Not mentioned ,,,
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,0.2,slow_freeze,0.85,not mention,Not mentioned ,,,
6.5 M EG + 0.5 M Sucrose,0,slow_freeze,0.95,not mention,Not mentioned ,,,
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,0,slow_freeze,1,not mention,Not mentioned ,,,
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,0.2,slow_freeze,0.85,not mention,Not mentioned ,,,
6.5 M EG + 0.5 M Sucrose,0,slow_freeze,0.98,not mention,Not mentioned ,,,
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,0,slow_freeze,1,not mention,Not mentioned ,,,
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,0.2,slow_freeze,0.85,not mention,Not mentioned ,,,
6.5 M EG + 0.5 M Sucrose,0,slow_freeze,0.98,not mention,Not mentioned ,,,
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,0,slow_freeze,1,not mention,Not mentioned ,,,
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,0.2,rapid_freeze,0.85,not mention,Not mentioned ,,,
6.5 M EG + 0.5 M Sucrose,0,rapid_freeze,0.98,not mention,Not mentioned ,,,
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,0,rapid_freeze,1,not mention,Not mentioned ,,,
50 mM Sucrose,0,slow_freeze,0.05,not mention,Not mentioned ,"8 pulses at 1.5 kV/cm field strength was used for electroporation. To achieve a physiological pH of 7.4, K2HPO4 and KH2PO4 were mixed in the ratio of 40.5 to 9.5Typhan blue exclusion and flow cytometry used for viability testing. ",400mM highest ,https://doi.org/10.1016/j.cryobiol.2019.10.002
100 mM Sucrose,0,slow_freeze,0.17,not mention,Not mentioned ,,cells were able to attach 24 h after thawing demonstrating characteristic shape and sugar-loaded vacuoles,
150 mM Sucrose,0,slow_freeze,0.6,not mention,Not mentioned ,,,
400 mM Sucrose,0,slow_freeze,0.8,not mention,Not mentioned ,,,
50 mM Trehalose,0,slow_freeze,0.03,not mention,Not mentioned ,,,
100 mM Trehalose,0,slow_freeze,0.14,not mention,Not mentioned ,,,
150 mM Trehalose,0,slow_freeze,0.62,not mention,Not mentioned ,,,
400 mM Trehalose,0,slow_freeze,0.78,not mention,Not mentioned ,,,
50 mM Raffinose,0,slow_freeze,0.07,not mention,Not mentioned ,,,
100 mM Raffinose,0,slow_freeze,0.19,not mention,Not mentioned ,,,
150 mM Raffinose,0,slow_freeze,0.75,not mention,Not mentioned ,,,
400 mM Raffinose,0,slow_freeze,0.8,not mention,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,not mention,0.15,Not mentioned ,,,doi:10.4061/2011/981606
10% Ethylene Glycol,0,slow_freeze,not mention,0.17,Not mentioned ,,,
10% propylene glycol,0,slow_freeze,not mention,0.1,Not mentioned ,,,
10% glycerol,0,slow_freeze,not mention,0.05,Not mentioned ,,,
10% Ethylene Glycol + 10 µM ROCK Inhibitor,0,slow_freeze,not mention,0.22,Not mentioned ,,,
10% DMSO + Accutase,0.1,slow_freeze,not mention,0.44,Not mentioned ,,,
10% Ethylene Glycol + Accutase,0,slow_freeze,not mention,0.52,Not mentioned ,,,
10% propylene glycol + Accutase,0,slow_freeze,not mention,0.24,Not mentioned ,,,
10% glycerol + Accutase,0,slow_freeze,not mention,0.18,Not mentioned ,,,
10% Ethylene Glycol + 10 µM ROCK Inhibitor + Accutase,0,slow_freeze,not mention,0.12,Not mentioned ,,,
HUXUC-90011,0,slow_freeze,0.02,not mention,Not mentioned ,"8 pulses at 2.25 kV/cm field strength was used for electroporation. After cryopreservation, the cell suspension was replenished to 1 ml with the solution, incubated for 30 mins before cryopreservation. Live/Dead kit used for viability, with counting using ImageJ. ROS detection using 2,7-dichlorofluorescin diacetate. ","8% betaine showed best results, with viability comparable to DMSO. Lower ROS than DMSO.",https://doi.org/10.3390/ijms22147445
2% betaine,0,slow_freeze,0.18,not mention,Not mentioned ,,,
4% betaine,0,slow_freeze,0.3,not mention,Not mentioned ,,,
6% betaine,0,slow_freeze,0.78,not mention,Not mentioned ,,,
8% betaine,0,slow_freeze,0.84,not mention,Not mentioned ,,,
10% betaine,0,slow_freeze,0.4,not mention,Not mentioned ,,,
10% DMSO,0.1,slow_freeze,0.74,not mention,Number of cells doubled in approx 3 days ,Viability measured by trypan blue exclusion with Bürker chamber; adhesion/proliferation by LDH assay; phenotype by flow cytometry ,"Complete DMEM + 15% Glycerol Optimal: higher adhesion/proliferation vs. DMSO; higher CD184 (~97%), lower CD146; similar spreading (~1500 µm²); maintained fibroblastoid morphology/differentiation",doi:10.1038/s41598-024-65469-4
10% Glycerol,0,slow_freeze,0.62,not mention,Number of cells doubled in approx 3 days ,,,
15% Glycerol,0,slow_freeze,0.7,not mention,Number of cells doubled in approx 3 days ,,,
20% Glycerol,0,slow_freeze,0.58,not mention,Number of cells doubled in approx 3 days ,,,
10% DMSO,0.1,slow_freeze,0.76,not mention,"Number of cells doubled in approx 3 days, before doubling again on day 4",,,
10% Glycerol,0,slow_freeze,0.74,not mention,"Number of cells doubled in approx 3 days, before doubling again on day 5",,,
15% Glycerol,0,slow_freeze,0.78,not mention,"Number of cells doubled in approx 3 days, before doubling again on day 6",,,
20% Glycerol,0,slow_freeze,0.52,not mention,"Number of cells doubled in approx 3 days, before doubling again on day 7",,,
10% PEG,0,slow_freeze,0.6,0.64,Not mentioned ,Viability measured by trypan blue staining with OneCell Counter; recovery as viable cell ratio post-thaw,LR 3T 5D Optimal DMSO-free; similar viability/recovery/proliferation/differentiation/markers (>95% CD73/CD90/CD105+) to 10% DMSO; lower proliferation than lower PG conc.,10.1007/s10616-022-00541-3
10% PEG + 3% Trehalose,0,slow_freeze,0.82,0.82,Not mentioned ,,,
10% PEG + 3% Trehalose + 5% Dextran,0,slow_freeze,0.94,0.96,Not mentioned ,,,
0 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.76,not mention,Approx. 2 days ,Viability measured by WST-1 assay (absorbance at 450 nm); proliferation by WST-1; ROS by DCFH-DA fluorescence; phenotype by flow cytometry,5 mg/mlOptimal; comparable to FBS; low ROS; maintained after 1 year; effective for UC/BM/AD-MSCs,DOI: 10.1002/term.2116
0 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.78,not mention,Approx. 2 days ,,,
0.1 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.82,not mention,Approx. 2 days ,,,
0.2 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.85,not mention,Approx. 2 days ,,,
0.5 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.9,not mention,Approx. 2 days ,,,
1 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.94,not mention,Approx. 2 days ,,,
2 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.95,not mention,Approx. 2 days ,,,
5 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.97,not mention,Approx. 2 days ,,,
10 mg/ml storage protein 2 + 4% DMSO,0.04,slow_freeze,0.98,not mention,Approx. 2 days ,,,
7.5% COOH-PLL,0,slow_freeze,0.04,not mention,38 hrs,"Viability measured post-thaw (trypan blue exclusion); proliferation by cell counting,",0.65 mol fraction best. maintained stemness and differentiation; membrane attachment mechanism differs from penetrating CPAs like DMSO; safer for clinical transplantation,10.1080/09205063.2013.771318
7.5% COOH-PLL,0,slow_freeze,0.2,not mention,38 hrs,,,
7.5% COOH-PLL,0,slow_freeze,0.78,not mention,38 hrs,,,
7.5% COOH-PLL,0,slow_freeze,0.86,not mention,38 hrs,,,
7.5% COOH-PLL,0,slow_freeze,0.96,not mention,38 hrs,,,
7.5% COOH-PLL,0,slow_freeze,0.92,not mention,38 hrs,,,
20% FBS + 10% DMSO,0.1,slow_freeze,0.91,0.79,Not mentioned ,"load without NYC;  Used Annexin V-FITC & 7-AAD staining  for(viability/apoptosis), Flow cytometric analysis of cell surface markers","This study demonstrated an overall high cell integrity after LCPT-URC application (83–99%), with no significant differences between the CPs employed, DMSO or EG. However, a consistent cell viability was also obtained with treatments of DMSO or EG (68% and 51% respectively)",https://doi.org/10.1371/journal.pone.0220055 
0.5 M trehalose,0,rapid_freeze,0.99,0.28,Not mentioned ,loaded on NYC,,
10% DMSO,0,rapid_freeze,0.83,0.68,Not mentioned ,loaded on NYC,,
10% EG,0.1,rapid_freeze,0.87,0.51,Not mentioned ,loaded on NYC,,
0.5 M trehalose + 10% DMSO,0.1,rapid_freeze,0.99,0.48,Not mentioned ,loaded on NYC,,
0.5 M trehalose + 10% EG,0,rapid_freeze,0.99,0.41,Not mentioned ,loaded on NYC,,
empty,0,rapid_freeze,0.99,0.26,Not mentioned ,loaded on NYC,,
5% DMSO + 95% EMEA-FBS,0.05,slow_freeze,not mention,not mention,38.4± 2.4 h,"no test on viablility ，Cell proliferation was measured by using the PKH26-GL cell linker kit,Flow cytometry to analyze surface markers",MSC derived after freezing and storage of either freshly isolated BM-MNC or ex vivo -expanded MSC have the same phenotypic and cellular characteristics as MSC derived from freshly isolated BM-MNC,10.1080/14653240701322235
90% autologous plasma + 10% DMSO,0.1,slow_freeze,not mention,not mention,Not mentioned , viability tested by trypan blue,"After thawing, the MSCs were more than 90% viable and sterile",10.3109/14653240903313966
20% FBS + 10% DMSO,0.1,slow_freeze,0.85,not mention,Not mentioned , viability tested by trypan blue,Overall results indicated that the best CPAs were both containing 10% (v/v) DMSO and showed a unsatisfactory viability for Trehalose group,10.1089/bio.2012.0005
20% FBS + 5% DMSO + 60 mM Trehalose,0.05,slow_freeze,not mention,not mention,Not mentioned ,,,
20% FBS + 2.5% DMSO + 30 mM Trehalose,0.025,slow_freeze,not mention,not mention,Not mentioned ,,,
20% FBS + 264 mM Trehalose,0,slow_freeze,not mention,not mention,Not mentioned ,,,
5% DMSO + 20% FBS + 500 mM Trehalose,0.05,slow_freeze,0.73,not mention,Not mentioned ,,,
7% DMSO + 5% HES + 2% BSA,0.07,slow_freeze,0.45,not mention,Not mentioned ,,,
5% DMSO + 4% HES + 4% FBS,0.05,slow_freeze,0.38,not mention,Not mentioned ,,,
10% DMSO + 12% HES + 8% FBS,0.1,slow_freeze,0.8,not mention,Not mentioned ,,,
30 μM Caspase Inhibitor z-VAD-fmk + 10% DMSO + 20% FBS,0.1,slow_freeze,0.79,not mention,Not mentioned ,,,
90% FBS + 10% DMSO,0.1,slow_freeze,0.9,not mention,Not mentioned ,,,
Human serum + 10% DMSO + 20% hydroxychyl starch,0.1,slow_freeze,0.6302,0.8103,38 ± 1.69 h,Thawing involved stepwise dilution with a solution containing 20% HS and 5% ACD.Viability assessed by flow cytometry (PI & Annexin V）,Results showed a high post-thawing cell recovery rate 114% ± 2.90% and relatively high viability at 72.71% ± 2.12% but will keep decreasing to around 81.03% ± 4.30% and 63.02% ± 2.33% along with the time and differentiation ability haven’t showed a big impact after thawing.,10.3109/14653249.2012.677820
0.1 M Sucrose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.87,not mention,Not mentioned ,Trypan blue dye for viability test and Flow cytometry for checking cell surface markers,"The result showed that MSSF (1°C/min, FS-1) is the optimal solution with highest viability (87±5%) and vitrification showed a poor result in general.",10.2174/1574888x11308010008
0.1 M Sucrose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.76,not mention,Not mentioned ,,,
0.1 M Sucrose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.7,not mention,Not mentioned ,,,
0.2 M Trehalose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.82,not mention,Not mentioned ,,,
0.2 M Trehalose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.75,not mention,Not mentioned ,,,
0.2 M Trehalose + 10% DMSO + 20% FBS,0.1,slow_freeze,0.66,not mention,Not mentioned ,,,
HES + 5% DMSO + 4% HSA,0.05,slow_freeze,0.7,not mention,Not mentioned ,,,
HES + 5% DMSO + 4% HSA,0.05,slow_freeze,0.6,not mention,Not mentioned ,,,
HES + 5% DMSO + 4% HSA,0.05,slow_freeze,0.55,not mention,Not mentioned ,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS,0,slow_freeze,0.8,not mention,Not mentioned ,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS,0,slow_freeze,0.71,not mention,Not mentioned ,,,
0.1 M Sucrose + 1.5 M EG + 20% FBS,0,slow_freeze,0.65,not mention,Not mentioned ,,,
10% DMSO + 20% FBS,0.1,slow_freeze,0.85,not mention,Not mentioned ,,,
10% DMSO + 20% FBS,0.1,slow_freeze,0.78,not mention,Not mentioned ,,,
10% DMSO + 20% FBS,0.1,slow_freeze,0.67,not mention,Not mentioned ,,,
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,slow_freeze,not mention,not mention,Not mentioned ,"hBMSCs EquilibrationhBMSCs VitrificationhESCs EquilibrationhESCs VitrificationRewarminghBMSCs cultured in DMEM; vitrification in 0.25 mL straws with stepwise equilibration (5 min), plunged into LN2/LHe",Not Mentioned,10.3390/bioengineering8110162
17.5% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,slow_freeze,not mention,not mention,Not mentioned ,,Not Mentioned,10.3390/bioengineering8110162
15% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,slow_freeze,not mention,not mention,Not mentioned ,,Not Mentioned,10.3390/bioengineering8110162
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,unknown,rapid_freeze,0.93,not mention,Not mentioned ,"Numerical model simulated cooling rates using Ansys Fluent, comparing LHe (-269°C) and LN2 (-196°C) with heat transfer coefficients 167–2000 W/(m²·K) for LHe and 125–1000 W/(m²·K) for LN2; hBMSCs and hESCs vitrified in 0.25 mL straws with varying CPA concentrations (EFS/EDS series), plunged into LHe or LN2, rewarmed in trehalose baths; viability assessed with Live/Dead kit, attachment/proliferation with CCK-8, stemness via flow cytometry (CD44, CD90, CD34, CD45 for hBMSCs; SSEA-3, TRA-1-81 for hESCs) and immunofluorescence (CD31, CD44 for hBMSCs; Oct-4, SOX2, SSEA-4, TRA-1-60 for hESCs); RT-qPCR for gene expression (PPARγ, Collagen I, Sox9, ALP for hBMSCs; Oct-4, NANOG, SOX2 for hESCs); differentiation tested via Oil Red O, Alizarin Red S, Alcian Blue; hESC karyotype and teratoma formation in SCID mice; statistical analysis with Student’s t-test (p < 0.05).","LHe provided higher cooling rates (up to ~1875°C/min) than LN2, improving hBMSC viability (93.0 ± 0.7% vs. 82.6 ± 4.1% with EFS40) and enabling reduced CPA use (85.2 ± 3.2% with EFS30); hESC viability slightly better with LHe (85.4 ± 4.9% vs. 83.0 ± 1.9% with EDS40), with EDS30 at 79.0 ± 2.8%; both cell types retained attachment, proliferation, stemness (CD markers, gene expression), and differentiation post-LHe vitrification; hESCs showed normal karyotype and teratoma formation, confirming pluripotency; LHe’s high cooling rate reduced CPA toxicity, supporting its potential in clinical applications.",10.3390/bioengineering8110162
40% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,rapid_freeze,0.826,not mention,Not mentioned ,"hBMSCs cultured in DMEM; vitrification in 0.25 mL straws with stepwise equilibration (5 min), plunged into LN2/LHe, rewarmed in trehalose baths; viability via Live/Dead kit, attachment/proliferation via CCK-8, stemness via flow cytometry (CD44/CD90/CD34/CD45), immunofluorescence (CD31/CD44), RT-qPCR (PPARγ/Collagen I/Sox9/ALP), differentiation via staining (Oil Red O/Alizarin Red S/Alcian Blue); numerical model in Ansys Fluent for cooling rates; t-test (p<0.05)","LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hBMSC viability (93.0 ± 0.7% vs. 82.6 ± 4.1% in EFS40); reduced CPAs maintained viability (EFS30: 85.2 ± 3.2%); retained morphology, proliferation, stemness (markers/genes), and differentiation (multilineage) post-LHe, with no karyotype abnormalities; LHe superior for low-CPA vitrification",10.3390/bioengineering8110162
35% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,rapid_freeze,0.826,not mention,Not mentioned ,,"LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hBMSC viability (93.0 ± 0.7% vs. 82.6 ± 4.1% in EFS40); reduced CPAs maintained viability (EFS30: 85.2 ± 3.2%); retained morphology, proliferation, stemness (markers/genes), and differentiation (multilineage) post-LHe, with no karyotype abnormalities; LHe superior for low-CPA vitrification",10.3390/bioengineering8110162
30% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0,rapid_freeze,0.826,not mention,Not mentioned ,,"LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hBMSC viability (93.0 ± 0.7% vs. 82.6 ± 4.1% in EFS40); reduced CPAs maintained viability (EFS30: 85.2 ± 3.2%); retained morphology, proliferation, stemness (markers/genes), and differentiation (multilineage) post-LHe, with no karyotype abnormalities; LHe superior for low-CPA vitrification",10.3390/bioengineering8110162
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0.2,slow_freeze,not mention,not mention,Not mentioned ,"hESCs cultured in Pluripotency Growth Master 1; vitrification in 0.25 mL straws with stepwise equilibration (5 min), plunged into LN2/LHe",Not Mentioned,10.3390/bioengineering8110162
17.5% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0.175,slow_freeze,not mention,not mention,Not mentioned ,,Not Mentioned,10.3390/bioengineering8110162
15% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,0.2,slow_freeze,not mention,not mention,Not mentioned ,,Not Mentioned,10.3390/bioengineering8110162
20% EG + 20% DMSO + 0.5 M sucrose,0.4,rapid_freeze,0.79,not mention,Not mentioned ,"hESCs cultured in Pluripotency Growth Master 1; vitrification in 0.25 mL straws with stepwise equilibration (5 min), plunged into LN2/LHe, rewarmed in trehalose baths; viability via Live/Dead kit, attachment/proliferation via CCK-8, stemness via flow cytometry (SSEA-3/TRA-1-81), immunofluorescence (Oct-4/SOX2/SSEA-4/TRA-1-60), RT-qPCR (Oct-4/NANOG/SOX2), differentiation assays, karyotyping, teratoma formation in SCID mice; numerical model in Ansys Fluent for cooling rates; t-test (p<0.05)","LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hESC viability (85.4 ± 4.9% vs. 83.0 ± 1.9% in EDS40); reduced CPAs maintained viability (EDS30: 79.0 ± 2.8%); retained colony morphology, proliferation, pluripotency (markers/genes, teratomas), and normal karyotype post-LHe",10.3390/bioengineering8110162
17.5% EG + 17.5% DMSO + 0.5 M sucrose,0.35,rapid_freeze,0.79,not mention,Not mentioned ,,"LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hESC viability (85.4 ± 4.9% vs. 83.0 ± 1.9% in EDS40); reduced CPAs maintained viability (EDS30: 79.0 ± 2.8%); retained colony morphology, proliferation, pluripotency (markers/genes, teratomas), and normal karyotype post-LHe",10.3390/bioengineering8110162
15% EG + 15% DMSO + 0.5 M sucrose,0.3,rapid_freeze,0.79,not mention,Not mentioned ,,"LHe enabled higher cooling rates (~1875°C/min) than LN2, improving hESC viability (85.4 ± 4.9% vs. 83.0 ± 1.9% in EDS40); reduced CPAs maintained viability (EDS30: 79.0 ± 2.8%); retained colony morphology, proliferation, pluripotency (markers/genes, teratomas), and normal karyotype post-LHe",10.3390/bioengineering8110162
0.2 M trehalose + 0.5 M trehalose,0,slow_freeze,not mention,not mention,Not mentioned ,Rewarming in trehalose baths followed by complete culture medium,,10.3390/bioengineering8110162
40 mM sucrose + 5% v/v glycerol + 7.5 mM isoleucine + 2% albumin + P188 + NEAA,0,slow_freeze,1,not mention,Not mentioned ,"hiPSC line UMN PCBC16iPS (passages 59–71) cultured as aggregates on vitronectin with TeSR-E8, frozen as 3–50 cell aggregates in 1 ml vials; DMSO-free solutions optimized via DE algorithm (8 experiments, NP=10, F=0.85, CR=1) using post-thaw reattachment (calcein AM) as metric; controlled-rate freezing with Kryo 560-16 (-1°C/min, TNUC -4°C or -12°C) or passive freezing with CoolCell at -80°C; thawing at 37°C for 2.5 min, plated 1:1 or 1:6; viability assessed 24h post-thaw with calcein AM, growth via Cytation 1 imaging, pluripotency via immunocytochemistry (NANOG, OCT4, TRA-1-60) and flow cytometry, differentiation with STEMdiff kit, karyotyping with G-banding; Raman spectroscopy and DSC characterized freezing behavior; statistics with t-test, ANOVA, p < 0.05.","DE algorithm optimized DMSO-free Solution A (40 mM sucrose, 5% glycerol, 7.5 mM isoleucine, 2% albumin) for hiPSC aggregates, achieving ~100% reattachment vs. fresh cells, outperforming Solution B (<50%) and DMSO (52–95% lower); Solution A reduced intracellular ice and undercooling sensitivity (TNUC -12°C viable), while DMSO and Solution B showed significant losses; P188 in Solution A softened ice interfaces and increased crystal spacing, enhancing cryoprotection; cells retained pluripotency and trilineage differentiation after 3 cycles, with normal karyotype; passive freezing caused cell loss due to slower rates.",10.3389/fbioe.2020.00001
60 mM sucrose + 4% v/v glycerol + 15 mM isoleucine + 2.5% albumin + P188 + NEAA,0,slow_freeze,not mention,not mention,Not mentioned ,,,10.3389/fbioe.2020.00001
7.5% DMSO,0.075,slow_freeze,0.05,not mention,Not mentioned ,,,10.3389/fbioe.2020.00001
10% FBS + 1% antibiotic,0,slow_freeze,not mention,not mention,Not mentioned ,"Synovial MSCs from four female OA donors (age 71±6 years) harvested during total knee arthroplasty, digested with collagenase, cultured in α-MEM with 10% FBS, passage 2 used; cryopreservation in 400μL medium at -80°C for 7 days using Bicell vessel, thawed with ThawSTAR; colony formation assay with 3×10³ cells in 60cm² dishes for 14 days, counted colonies >2mm with crystal violet; chondrogenesis assay with 1.25×10⁵ cells in 0.5mL medium for 21 days, pellet weight and staining (toluidine blue, collagen type II); flow cytometry for CD44, CD45, CD73, CD90, CD105; differentiation assays for adipogenesis, calcification; statistical analysis with Friedman test and Dunn’s test (p<0.05, n=24).","95% FBS with 5% DMSO preserved synovial MSC colony formation and chondrogenic ability (pellet weight) equivalent to Time 0, outperforming 10% FBS (lower colonies and pellets); 100% FBS failed to support colony formation or chondrogenesis, likely due to lack of DMSO; higher serum concentration reduced ice crystal damage, possibly via osmotic pressure and albumin buffering; 5% DMSO deemed safe for intra-articular use (66mg in 12mL), but toxicity concerns remain; limitations include -80°C vs. -150°C and short 7-day storage.",10.1186/s12891-019-2700-3
10% FBS + 5% DMSO + 1% antibiotic,0,slow_freeze,not mention,not mention,Not mentioned ,,,10.1186/s12891-019-2700-3
95% FBS + 5% DMSO,0.05,slow_freeze,not mention,not mention,Not mentioned ,,,10.1186/s12891-019-2700-3
100% FBS,0,slow_freeze,not mention,not mention,Not mentioned ,,,10.1186/s12891-019-2700-3
empty,0,slow_freeze,0.94,not mention,Not mentioned ,"Adult patients (≥18 years) with hematologic malignancies at Fred Hutchinson Cancer Center, 213 cryopreserved (March 2020–December 2021) and 167 fresh (January–December 2019) PBSC grafts; PBSCs mobilized with G-CSF, collected via apheresis, cryopreserved with 10% DMSO, stored in vapor phase liquid nitrogen, thawed at 37°C; engraftment defined as ANC ≥0.5×10⁶/mL for 3 days and platelets >20×10⁶/mL without transfusion for 7 days; outcomes (mortality, NRM, relapse, GVHD) analyzed with Cox/logistic regression adjusting for age, disease severity, donor type, conditioning (MAC/NMA), CD34+/CD3+ doses; chimerism assessed at days +28, +84, +365; statistical analysis with SAS 9.4, p<0.05.","Cryopreserved PBSCs showed comparable neutrophil engraftment (median 18 days) to fresh (17 days), slight platelet engraftment delay (15 vs. 13 days, HR 1.31, P=.02), and lower grade III-IV acute GVHD (15% vs. 23.4%, OR 1.75, P=.05); no significant differences in overall mortality (HR 1.20, P=.40), NRM (HR 0.99, P=.98), or relapse (HR 0.94, P=.80); day +28 CD3 chimerism lower in Cryo group (10.7% ≤50% vs. 5.3%), similar by day +84; longer transit time (33.4h vs. 16.4h) in Cryo group, but no clear mortality/engraftment impact; supports cryopreservation as a safe alternative during logistical challenges, though fresh grafts preferred.",10.1016/j.jtct.2023.08.025.
Human serum albumin + 20% DMSO,0.1,slow_freeze,0.948,not mention,Not mentioned ,,,10.1016/j.jtct.2023.08.025.
